# t = 7.00039e-05
# 1:pos.x 2:pos.y 3:pos.z 4:area 5:q_total 6:q_cond 7:q_diff 8:tau 9:l_tau 10:m_tau 11:n_tau 12:sigma 13:n.x 14:n.y 15:n.z 16:T 17:Re_wall 18:y+ 19:cellWidthNormalToSurface
6.2642303387788027e-03 9.2754723363504526e-03 0.0000000000000000e+00 1.8212054785770181e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 8.4384680835344188e+04 3.7359497005251480e-01 -9.2759193525572470e-01 0.0000000000000000e+00 1.4306239566626984e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.4471845752696367e-04
6.4470622152167879e-03 9.3470313534064400e-03 0.0000000000000000e+00 1.8352558330148072e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 7.9986923851192056e+04 3.5531090128041926e-01 -9.3474818182829122e-01 0.0000000000000000e+00 1.3617746949346674e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.4672301432355471e-04
6.6312638168040689e-03 9.4149869119468134e-03 0.0000000000000000e+00 1.8485986613933285e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 7.5593386246453389e+04 3.3688985339221977e-01 -9.4154406518302092e-01 0.0000000000000000e+00 1.2968025606120382e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.4865293846185907e-04
6.8167641303167959e-03 9.4793128138101583e-03 0.0000000000000000e+00 1.8612288197981542e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 7.1291241733601782e+04 3.1833892805254610e-01 -9.4797696537751164e-01 0.0000000000000000e+00 1.2447564930092144e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.5050454186149597e-04
7.0034916418529507e-03 9.5399842601368127e-03 0.0000000000000000e+00 1.8731414390628799e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 6.7004597932047938e+04 2.9966527699625700e-01 -9.5404440240628041e-01 0.0000000000000000e+00 1.2059540094516151e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.5227417531910256e-04
7.1913743644023160e-03 9.5969778609292806e-03 0.0000000000000000e+00 1.8843319266459438e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 6.2785153478290704e+04 2.8087609927128626e-01 -9.5974403715685908e-01 0.0000000000000000e+00 1.1755692073537721e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.5395822839345944e-04
7.3803398655988388e-03 9.6502716440695357e-03 0.0000000000000000e+00 1.8947959684014384e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 5.8716037714752441e+04 2.6197863846334657e-01 -9.6507367231154484e-01 0.0000000000000000e+00 1.1490123561404605e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.5555312975975403e-04
7.5703152956446852e-03 9.6998450637896839e-03 0.0000000000000000e+00 1.9045295302419748e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 5.4845562862327941e+04 2.4298017990326484e-01 -9.7003125319454375e-01 0.0000000000000000e+00 1.1236951972943398e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.5705534805207470e-04
7.7612274153952207e-03 9.7456790085927465e-03 0.0000000000000000e+00 1.9135288596941809e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 5.1191762565645164e+04 2.2388804785849156e-01 -9.7461486856404667e-01 0.0000000000000000e+00 1.0984836109103501e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.5846139321979059e-04
7.9530026245941045e-03 9.7877558086205147e-03 0.0000000000000000e+00 1.9217904873453661e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4.7756434194456422e+04 2.0470960270938107e-01 -9.7882275134907204e-01 0.0000000000000000e+00 1.0731274364714930e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.5976781843081794e-04
8.1455669902475870e-03 9.8260592424656117e-03 0.0000000000000000e+00 1.9293112281807415e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4.4533795057575779e+04 1.8545223811159608e-01 -9.8265327933071078e-01 0.0000000000000000e+00 1.0477883187157556e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.6097122256319488e-04
8.3388462751270744e-03 9.8605745434251491e-03 0.0000000000000000e+00 1.9360881828114361e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4.1509262730154194e+04 1.6612337814576930e-01 -9.8610497576750811e-01 0.0000000000000000e+00 1.0225848590501836e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.6206825333573170e-04
8.5327659663890047e-03 9.8912884051935764e-03 0.0000000000000000e+00 1.9421187385925974e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.8686610444467726e+04 1.4673047445535456e-01 -9.8917650996478201e-01 0.0000000000000000e+00 9.9770304534344291e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.6305561113937495e-04
8.7272513043009717e-03 9.9181889869925186e-03 0.0000000000000000e+00 1.9474005706301518e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.6048033770779242e+04 1.2728100337391299e-01 -9.9186669778762615e-01 0.0000000000000000e+00 9.7312073771574444e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.6393005364330945e-04
8.9222273110630100e-03 9.9412659181356174e-03 0.0000000000000000e+00 1.9519316426771585e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.3605905670837892e+04 1.0778246304275568e-01 -9.9417450211742853e-01 0.0000000000000000e+00 9.4945864118617033e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.6468840126427798e-04
9.1176188197129721e-03 9.9605103020266247e-03 0.0000000000000000e+00 1.9557102079192752e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.1339293459948320e+04 8.8242370520364419e-02 -9.9609903325168758e-01 0.0000000000000000e+00 9.2706897625081876e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.6532754360431258e-04
9.3133505031048301e-03 9.9759147195892205e-03 0.0000000000000000e+00 1.9587348096476189e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.9278845882562971e+04 6.8668258884384506e-02 -9.9763954924701492e-01 0.0000000000000000e+00 9.0706930688636112e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.6584444698187077e-04
9.5093469029487142e-03 9.9874732321271961e-03 0.0000000000000000e+00 1.9610042818205353e-06 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.7311555808368099e+04 4.9067674327414414e-02 -9.9879545620517252e-01 0.0000000000000000e+00 8.8834160750611056e+02 0.0000000000000000e+00 0.0000000000000000e+00 1.6623616320439303e-04
